Year,India_GDP_Forecast,USA_GDP_Forecast,Germany_GDP_Forecast,India_vs_USA,India_vs_Germany
2602,50124.95882383558,49023.31525215205,8643.452908729196,1101.6435716835258,41481.50591510638
2603,50126.29541642005,49023.81633963437,8643.57661056279,1102.4790767856757,41482.71880585726
2604,50127.61898108348,49024.31192474444,8643.699078934465,1103.3070563390356,41483.91990214901
2605,50128.92964481049,49024.80206790303,8643.820326143377,1104.1275769074564,41485.109318667106
2606,50130.22753334799,49025.28682886745,8643.940364366046,1104.9407044805412,41486.287168981944
2607,50131.51277121723,49025.76626673885,8644.059205657577,1105.7465044783821,41487.453565559656
2608,50132.78548172572,49026.24043996936,8644.176861952867,1106.5450417563552,41488.60861977285
2609,50134.04578697907,49026.709406369286,8644.293345067814,1107.336380609784,41489.75244191126
2610,50135.293807892725,49027.1732231141,8644.408666700489,1108.120584778626,41490.88514119224
2611,50136.52966420356,49027.63194675146,8644.522838432324,1108.8977174520987,41492.00682577124
2612,50137.753474481346,49028.08563320807,8644.635871729266,1109.6678412732726,41493.11760275208
2613,50138.965356140136,49028.534337796526,8644.747777942935,1110.43101834361,41494.217578197204
2614,50140.165425449566,49028.978115222024,8644.858568311764,1111.1873102275422,41495.3068571378
2615,50141.35379754595,49029.41701958905,8644.968253962114,1111.9367779569002,41496.385543583834
2616,50142.53058644336,49029.85110440799,8645.076845909414,1112.679482035368,41497.45374053395
2617,50143.69590504457,49030.280422601645,8645.184355059251,1113.415482442928,41498.51154998532
2618,50144.84986515187,49030.705026511656,8645.290792208467,1114.1448386402117,41499.559072943404
2619,50145.992577477795,49031.124967904914,8645.396168046249,1114.8676095728806,41500.59640943154
2620,50147.12415165577,49031.54029797988,8645.500493155198,1115.5838536758893,41501.623658500575
2621,50148.244696250586,49031.95106737281,8645.603778012395,1116.2936288777782,41502.64091823819
2622,50149.35431876886,49032.357326163896,8645.706032990449,1116.996992604967,41503.648285778414
2623,50150.45312566933,49032.75912388346,8645.807268358545,1117.6940017858724,41504.64585731078
2624,50151.54122237305,49033.15650951788,8645.907494283469,1118.3847128551715,41505.63372808958
2625,50152.61871327354,49033.54953151569,8646.006720830628,1119.0691817578554,41506.611992442915
2626,50153.685701746785,49033.93823779335,8646.104957965068,1119.747463953434,41507.58074378171
2627,50154.742290161135,49034.32267574119,8646.202215552476,1120.419614419945,41508.54007460866
2628,50155.78857988716,49034.702892229165,8646.298503360153,1121.0856876579928,41509.49007652701
2629,50156.82467130736,49035.078933612516,8646.39383105802,1121.7457376948441,41510.43084024934
2630,50157.85066382578,49035.45084573752,8646.488208219569,1122.3998180882627,41511.36245560621
2631,50158.86665587759,49035.81867394696,8646.58164432284,1123.0479819306274,41512.28501155475
2632,50159.87274493847,49036.182463085766,8646.674148751357,1123.6902818527014,41513.19859618711
2633,50160.86902753401,49036.54225750641,8646.765730795083,1124.3267700276047,41514.10329673893
2634,50161.85559924895,49036.89810107433,8646.856399651346,1124.957498174619,41514.9991995976
2635,50162.83255473635,49037.250037173304,8646.946164425768,1125.5825175630453,41515.88639031058
2636,50163.79998772669,49037.59810871071,8647.035034133174,1126.2018790159855,41516.76495359352
2637,50164.75799103685,49037.94235812276,8647.123017698501,1126.815632914091,41517.634973338354
2638,50165.70665657898,49038.28282737967,8647.210123957697,1127.4238291993097,41518.496532621284
2639,50166.64607536939,49038.619557990816,8647.296361658597,1128.0265173785738,41519.34971371079
2640,50167.576337537226,49038.95259100974,8647.381739461813,1128.6237465274826,41520.19459807541
2641,50168.49753233314,49039.2819670392,8647.4662659416,1129.21556529394,41521.03126639154
2642,50169.40974813783,49039.60772623608,8647.549949586719,1129.802021901749,41521.85979855111
2643,50170.31307247057,49039.92990831632,8647.632798801284,1130.3831641542492,41522.680273669284
2644,50171.20759199755,49040.24855255976,8647.71482190561,1130.9590394377883,41523.492770091936
2645,50172.093392540206,49040.56369781487,8647.79602713705,1131.5296947253373,41524.29736540315
2646,50172.9705590835,49040.875382503575,8647.876422650817,1132.0951765799255,41525.094136432686
2647,50173.83917578401,49041.18364462587,8647.956016520813,1132.6555311581396,41525.88315926319
2648,50174.699325978014,49041.48852176448,8648.034816740423,1133.210804213537,41526.66450923759
2649,50175.55109218954,49041.79005108944,8648.112831223336,1133.7610411001006,41527.438260966206
2650,50176.39455613822,49042.08826936263,8648.19006780433,1134.306286775587,41528.20448833389
2651,50177.229798747154,49042.38321294225,8648.266534240058,1134.8465858049021,41528.963264507096
2652,50178.056900150696,49042.67491778727,8648.342238209832,1135.3819823634258,41529.71466194086
2653,50178.87593970209,49042.96341946177,8648.41718731639,1135.912520240323,41530.458752385704
2654,50179.68699598115,49043.248753139334,8648.491389086663,1136.4382428418176,41531.195606894486
2655,50180.49014680174,49043.53095360729,8648.564850972525,1136.9591931944524,41531.92529582922
2656,50181.28546921926,49043.81005527098,8648.637580351555,1137.475413948283,41532.64788886771
2657,50182.07303953807,49044.086092157944,8648.709584527754,1137.9869473801227,41533.363455010316
2658,50182.85293331875,49044.35909792207,8648.780870732306,1138.493835396679,41534.07206258644
2659,50183.625225385396,49044.6291058477,8648.851446124283,1138.9961195376964,41534.773779261115
